"","alength","elevel"
"1","short",1.43
"2","intermediate",-1.9
"3","intermediate",1.55
"4","intermediate",3.27
"5","intermediate",0.3
"6","intermediate",1.9
"7","intermediate",2.53
"8","intermediate",2.83
"9","intermediate",3.1
"10","intermediate",2.07
"11","intermediate",1.63
"12","intermediate",2.53
"13","intermediate",0.1
"14","intermediate",2.53
"15","short",-2.83
"16","long",1.6
"17","intermediate",2.27
"18","short",1.23
"19","intermediate",0.7
"20","intermediate",3.8
"21","short",-1.47
"22","intermediate",-2.37
"23","intermediate",0.67
"24","intermediate",-0.37
"25","long",3.6
"26","intermediate",3.2
"27","intermediate",3.05
"28","intermediate",1.97
"29","intermediate",3.33
"30","intermediate",2.9
"31","long",1.45
"32","long",4.1
"33","intermediate",2.77
"34","intermediate",4.05
"35","intermediate",2.13
"36","short",2.57
"37","intermediate",3.53
"38","long",3.37
"39","intermediate",3.67
"40","intermediate",2.13
"41","intermediate",1.4
"42","intermediate",3.5
"43","intermediate",3.53
"44","intermediate",2.2
"45","long",3.2
"46","intermediate",4.23
"47","intermediate",2.87
"48","intermediate",3.2
"49","intermediate",3.4
"50","long",3.2
"51","intermediate",4.17
"52","intermediate",4.3
"53","long",4.23
"54","long",3.43
"55","long",4.4
"56","long",3.27
"57","intermediate",3.07
"58","intermediate",4.03
"59","intermediate",3.07
"60","intermediate",4.43
"61","long",1.75
"62","long",1.77
"63","intermediate",1.33
"64","long",3.43
"65","intermediate",1.03
"66","intermediate",3.13
"67","intermediate",4.17
"68","intermediate",2.7
"69","intermediate",3.93
"70","long",3.5
"71","intermediate",3.9
"72","intermediate",2.17
"73","intermediate",3.13
"74","intermediate",-2.4
"75","intermediate",1.9
"76","short",3
"77","short",5.63
"78","short",2.8
"79","short",3.17
"80","short",2
"81","short",2.93
"82","short",2.87
"83","short",1.83
"84","short",1.05
"85","short",1
"86","short",2.77
"87","short",1.43
"88","short",5.8
"89","short",2.8
"90","short",1.17
"91","intermediate",1.6
"92","short",0.47
"93","short",2.33
"94","intermediate",0.67
"95","intermediate",0.73
"96","short",1.47
"97","short",0.1
