"","counts","age","coverstorey","coverregen","meanregen","coniferous","deadtree","cbpiles","ivytree","fdist"
"1",0,120,80,60,7,20,0,4,0,100
"2",0,120,70,90,3,25,1,2,0,10
"3",0,120,90,70,6,40,0,7,0,110
"4",0,120,90,20,7,5,0,11,0,10
"5",0,120,90,20,4,1,0,11,0,110
"6",2,200,80,80,5,0,1,3,0,30
"7",0,200,70,90,5,0,0,1,0,40
"8",0,200,75,60,5,0,0,2,0,60
"9",0,120,90,20,4,0,0,9,9,20
"10",0,200,55,100,9,1,0,2,0,60
"11",0,200,60,100,7,0,0,2,0,60
"12",0,200,65,100,7,0,1,2,0,30
"13",0,200,80,100,6,0,0,1,0,25
"14",0,200,100,0,0,0,0,0,0,500
"15",0,200,110,0,0,0,1,1,0,450
"16",0,200,90,0,0,0,0,2,0,450
"17",0,200,110,0,0,0,0,2,0,360
"18",0,200,110,0,0,0,2,0,0,330
"19",0,200,110,0,0,0,0,0,0,330
"20",0,200,90,0,0,0,2,3,0,250
"21",0,200,100,0,0,1,2,1,0,200
"22",0,200,110,0,0,0,1,1,0,240
"23",0,200,110,0,0,0,0,2,0,130
"24",0,200,100,0,0,1,1,2,1,90
"25",0,120,3,95,5,0,0,1,0,70
"26",0,120,6,100,4,5,0,0,0,120
"27",0,120,3,90,6,0,0,0,0,190
"28",0,120,3,100,8,0,0,0,0,160
"29",0,120,50,100,5,30,0,0,1,240
"30",0,230,70,10,1,10,1,6,3,40
"31",0,230,65,10,1,40,0,4,0,130
"32",0,230,70,30,7,20,0,5,0,90
"33",0,230,50,10,0.3,40,0,4,0,190
"34",0,230,60,30,6,0,0,3,0,70
"35",0,230,65,30,1.5,3,1,3,4,90
"36",0,230,75,5,2,0,0,6,0,180
"37",0,230,90,10,2,0,0,4,0,280
"38",0,230,70,5,1,25,2,5,0,100
"39",0,230,75,20,6,0,1,2,0,200
"40",0,230,95,20,0.5,0,2,2,3,300
"41",4,160,15,25,2,1,0,2,0,300
"42",4,160,15,85,3,1,0,6,0,500
"43",3,160,20,70,2,1,1,3,0,300
"44",3,160,20,15,2,30,0,9,0,200
"45",0,160,20,40,2,30,0,6,0,200
"46",1,160,5,85,3,0,1,3,0,500
"47",0,160,20,50,2,0,0,3,0,400
"48",0,160,20,30,1,30,0,10,0,300
"49",0,160,20,20,2,30,0,6,0,200
"50",0,160,30,70,2,30,0,5,0,100
"51",0,230,85,50,0.2,10,0,3,0,130
"52",2,160,25,30,3,5,0,2,0,500
"53",2,160,25,85,3,0,0,3,0,400
"54",5,160,40,20,2,15,0,5,0,310
"55",0,160,60,40,2,60,0,3,0,210
"56",0,230,85,30,0.25,5,1,7,3,150
"57",0,230,75,0,0,2,1,9,0,90
"58",0,160,30,50,7,0,1,0,0,200
"59",0,160,40,90,7,0,0,0,0,160
"60",0,160,40,90,6,0,0,1,0,60
"61",0,200,100,0,0,25,0,2,0,125
"62",0,200,100,0,0,0,0,2,0,25
"63",0,160,40,70,8,0,0,0,0,110
"64",0,160,60,40,7,0,0,0,0,180
"65",0,160,35,100,10,0,0,1,0,80
"66",0,200,100,10,2,0,0,1,0,130
"67",0,200,110,0,0,0,1,1,1,40
"68",0,160,30,90,9,0,0,0,0,40
"69",0,160,50,100,7,0,0,1,0,110
"70",1,160,40,80,7,0,1,1,0,70
"71",0,200,110,10,2,0,0,3,3,110
"72",0,200,110,0,0,0,0,0,1,70
"73",0,200,75,60,2,5,0,0,2,200
"74",0,200,85,40,2,0,0,0,12,180
"75",0,200,100,0,0,0,0,1,0,80
"76",0,160,70,60,10,0,0,0,0,10
"77",0,200,110,0,0,1,0,0,0,10
"78",0,200,110,0,0,0,1,0,1,10
"79",0,200,100,50,1,0,2,0,0,100
"80",0,200,95,40,2,0,1,0,3,180
"81",0,200,100,0,0,0,0,0,1,70
"82",0,200,95,70,1,0,0,0,2,60
"83",0,200,80,60,1,0,0,2,2,130
"84",0,200,110,0,0,0,3,1,0,130
"85",0,200,90,20,1,0,0,1,0,40
"86",0,200,100,0,0,0,0,0,0,30
